"מספר התלונה","תאריך הגשת הבקשה למידע","תאריך קבלת תלונה","ערוץ קבלת תלונה","סוג המתלונן","שם המתלונן"," נושא התלונה","שם הנילון","נושא בקשת חופש מידע","סטטוס","החלטה","תאריך סיום טיפול","מספר ימי טיפול",
" 212/24","15/05/2024","20/06/2024","טופס מקוון","עמותה","איחוד הישיבות באר"י","אי מתן מענה","משטרת ישראל","תיקי פל"א נוער בהפגנות","סיום טיפול","בלתי מוצדק","01/07/2024","11",
" 93/24","08/11/2023","14/03/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","אי מתן מענה !במועד! סמוכין 395054 תאריך 08.11.23 ","סיום טיפול","בלתי מוצדק","19/03/2024","5",
" 371/24","29/08/2024","29/10/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","תיקון שירטוט קו 50 במושב רום אל און ","בטיפול","","","27",
" 419/23","16/05/2023","22/09/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","מסמכי חידוש רישיון","סיום טיפול","מוצדק","08/02/2024","140",
" 94/22","28/11/2021","13/03/2022","טופס מקוון","אזרח","","אי מתן מענה","שירות בתי הסוהר","אי קבלת מענה חופש המידע","סיום טיפול","מוצדק","24/03/2022","11",
" 309/22","26/04/2022","25/07/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","פנייתי 65539","סיום טיפול","בלתי מוצדק","27/07/2022","2",
" 107/22","11/05/2021","18/03/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","רשימת משווקי בשר, עופות ודגים ומספרי הזיהוי הווטרינרי שלהם","סיום טיפול","מוצדק","26/05/2022","69",
" 267/24","16/05/2024","17/07/2024","טופס מקוון","אזרח","","חוסר בהנמקה","משרד התחבורה והבטיחות בדרכים","פרוטוקול רכבת","סיום טיפול","בלתי מוצדק","08/10/2024","84",
" 21/22","08/09/2021","19/01/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","השמדת קנאביס רפואי","סיום טיפול","מוצדק","13/02/2022","25",
" 158/22","09/02/2022","07/04/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד החינוך","בקשה לקבלת מידע עבור בית ספר בחיפה","סיום טיפול","מוצדק","28/04/2022","21",
" 129/24","06/03/2023","29/04/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","הנחיית משרד המשפטים","סיום טיפול","מוצדק","03/07/2024","65",
" 7/24","06/12/2023","05/01/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד ראש הממשלה","פירוט הטיפול בטופס פניות הציבור","סיום טיפול","בלתי מוצדק","29/01/2024","24",
" 249/23","25/10/2022","26/06/2023","טופס מקוון","עמותה","אנימלס","אי מתן מענה","משרד הבריאות","יבוא ושיווק דגים ומוצרי דגים","סיום טיפול","מוצדק","20/12/2023","177",
" 240/24","28/05/2024","08/07/2024","טופס מקוון","אזרח","","אי מתן מענה","הרשות הארצית לכבאות והצלה","בקשה לדו"ח כיבוי דליקה בין 15-14 יולי 2023 בבניין ברחוב יוסף הגידם 13 חיפה","סיום טיפול","מוצדק","06/08/2024","29",
" 186/23","22/03/2023","11/05/2023","טופס מקוון","עמותה","איחוד הישיבות באר"י","אי מתן מענה","צה"ל","ישיבות הסדר","סיום טיפול","מוצדק","31/08/2023","112",
" 367/24","15/09/2024","27/10/2024","טופס מקוון","אזרח","","אי מתן מענה","מתאם פעולות הממשלה בשטחים (מתפ"ש)","הכנסת והוצאת כספים אל ומרצועת עזה","סיום טיפול","מוצדק","31/10/2024","4",
" 378/24","02/10/2024","03/11/2024","טופס מקוון","אזרח","","חוסר בהנמקה","משרד החינוך","מסירת מידע לא מדויק/שקרי","סיום טיפול","בלתי מוצדק","13/11/2024","10",
" 43/23","08/07/2022","08/02/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","לא נשלח הדו"ח, נשוא החלטת משרד הבריאות מה-13.11.22","סיום טיפול","מוצדק","25/04/2023","77",
" 243/23","13/06/2023","25/06/2023","טופס מקוון","אזרח","","אי מתן מענה","משטרת ישראל","נוהל יממ","סיום טיפול","בלתי מוצדק","10/07/2023","15",
" 221/22","18/05/2022","22/05/2022","טופס מקוון","אזרח","","חוסר בהנמקה","הנהלת בתי הדין הרבניים","פסילת הרכב דיינים בנתניה 2020 - 2022","סיום טיפול","מוצדק","31/07/2022","71",
" 280/23","18/05/2023","19/07/2023","טופס מקוון","אזרח","","אי מתן מענה","משרד התיירות","מועדון הזמר האילתי","סיום טיפול","מוצדק","07/03/2024","232",
" 12/22","29/07/2021","11/01/2022","טופס מקוון","אחר","","אי מתן מענה","משרד הבריאות","שירותים והתקשרויות בין משרד הבריאות למד"א לשנים 2019-2020","סיום טיפול","מוצדק","16/03/2022","64",
" 85/22","10/01/2022","02/03/2022","טופס מקוון","אחר","","אי מתן מענה","רשות האוכלוסין וההגירה","בקשה לקבלת מידע לפי חוק חופש המידע","סיום טיפול","בלתי מוצדק","07/03/2022","5",
" 495/22","01/10/2022","23/12/2022","טופס מקוון","אזרח","","אי מתן מענה","משטרת ישראל","בקשת מידע","סיום טיפול","בלתי מוצדק","28/12/2022","5",
" 32/24","09/10/2023","30/01/2024","טופס מקוון","עמותה","האגודה לזכויות האזרח","אי מתן מענה","המשרד לביטחון לאומי","טיפול בבקשות לרישיונות לשאת כלי ירייה פרטי","סיום טיפול","מוצדק","04/04/2024","65",
" 29/22","14/11/2021","25/01/2022","טופס מקוון","אזרח","","אי מתן מענה","האפוטרופוס הכללי והכונס הרשמי","קרן תובענות יצוגיות ","סיום טיפול","מוצדק","13/02/2022","19",
" 592/21","04/10/2021","24/11/2021","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","מסמכים הנוגעים לחברת גלים","סיום טיפול","מוצדק","30/05/2022","187",
" 464/23","26/07/2023","07/11/2023","טופס מקוון","עמותה","החברה להגנת הטבע","אי מתן מענה","משרד החקלאות ופיתוח הכפר","דיג במפרץ אילת","סיום טיפול","מוצדק","28/02/2024","113",
" 24/24","11/10/2023","24/01/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","אי מתן מענה סמוכין 392394 מתאריך 11.10.23 ","סיום טיפול","בלתי מוצדק","07/02/2024","14",
" 263/24","20/06/2022","15/07/2024","טופס מקוון","אחר","","אי מתן מענה","משרד הבריאות","זמני המתנה לרופאים בקהילה","סיום טיפול","מוצדק","21/08/2024","37",
" 105/24","18/02/2024","03/04/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד החקלאות ופיתוח הכפר","תוכנית 2023 של פקידי יערות","סיום טיפול","מוצדק","24/06/2024","82",
" 91/24","30/01/2024","14/03/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","אי מתן מענה והודעת ארכה לא לפי חוק","סיום טיפול","בלתי מוצדק","18/03/2024","5",
" 198/23","16/04/2023","24/05/2023","טופס מקוון","אזרח","","חוסר בהנמקה","משטרת ישראל","סירוב גורף לבקשת מידע  מיום 16.4.23","סיום טיפול","בלתי מוצדק","01/08/2024","435",
" 103/24","08/11/2023","02/04/2024","טופס מקוון","אזרח","","אי מתן מענה","משרד המשפטים","אי מתן מענה !במועד! סמוכין 395054 תאריך 08.11.23 ","סיום טיפול","בלתי מוצדק","03/04/2024","1",
" 312/24","25/08/2024","04/09/2024","טופס מקוון","אזרח","","חוסר בהנמקה","בית חולים איכילוב","תחלופת עובדים בלשכות הנהלה","סיום טיפול","בלתי מוצדק","09/09/2024","5",
" 211/24","11/01/2024","19/06/2024","טופס מקוון","עמותה","מוסרי","אי מתן מענה","המשרד לשוויון חברתי","הסכמי התקשוריות ומכרזים","סיום טיפול","מוצדק","27/06/2024","8",
" 459/22","16/08/2022","29/11/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד הבריאות","בידוד נגיף הקורונה","סיום טיפול","מוצדק","02/03/2023","93",
" 306/22","14/06/2022","21/07/2022","טופס מקוון","אזרח","","אי מתן מענה","משרד התחבורה והבטיחות בדרכים","תחומי אחריות כפר יונה","סיום טיפול","מוצדק חלקית","25/07/2022","5",
